CIP_Occupation_Title,NSSBIC_Occupation_Title
Social Science Teacher Education,Education & Training
Social Studies Teacher Education,Education & Training
Computer Teacher Education,Education & Training
Biology Teacher Education,Education & Training
Chemistry Teacher Education,Education & Training
Drama & Dance Teacher Education,Education & Training
French Language Teacher Education,Education & Training
German Language Teacher Education,Education & Training
Health Occupations Teacher Education,Education & Training
History Teacher Education,Education & Training
Physics Teacher Education,Education & Training
Spanish Language Teacher Education,Education & Training
Speech Teacher Education,Education & Training
Geography Teacher Education  (New),Education & Training
Latin Teacher Education  (New),Education & Training
"Teacher Education & Professional Development, Specific Subject Areas, Other",Education & Training
Technology Teacher Education/Industrial Arts Teacher Education,Education & Training
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Education & Training
"Special Education, General",Education & Training
"Education/Teaching of Individuals with Hearing Impairments, Including Deafness",Education & Training
Education/Teaching of Individuals with Emotional Disturbances,Education & Training
Education/Teaching of Individuals with Mental Retardation,Education & Training
Education/Teaching of Individuals with Multiple Disabilities,Education & Training
Education/Teaching of Individuals with Orthopedic & Other Physical Health Impairments,Education & Training
"Education/Teaching of Individuals with Vision Impairments, Including Blindness",Education & Training
Education/Teaching of Individuals with Specific Learning Disabilities,Education & Training
Education/Teaching of Individuals with Speech or Language Impairments,Education & Training
Education/Teaching of Individuals with Autism,Education & Training
Education/Teaching of Individuals with Traumastic Brain Injuries,Education & Training
"Special Education & Teaching, Other",Education & Training
"Special Education, General",Education & Training
"Special Education, General",Education & Training
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Education & Training
Bilingual & Multilingual Education,Education & Training
Multicultural Education  (New),Education & Training
Adult & Continuing Education & Teaching,Education & Training
Teaching English as a Second or Foreign Language/ESL Language Instructor,Education & Training
Adult Literacy Tutor/Instructor  (New),Education & Training
Adult & Continuing Education & Teaching,Education & Training
Multicultural Education  (New),Education & Training
"Teacher Education & Professional Development, Specific Levels & Methods, Other",Education & Training
"Education, Other",Education & Training
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Public Administration & Legal Services
Historic Preservation & Conservation,Public Administration & Legal Services
Cultural Resource Management & Policy Analysis  (New),Public Administration & Legal Services
"Historic Preservation & Conservation, Other",Public Administration & Legal Services
Museology/Museum Studies,Public Administration & Legal Services
"Art History, Criticism & Conservation",Public Administration & Legal Services
Public/Applied History & Archival Administration,Public Administration & Legal Services
Museology/Museum Studies,Public Administration & Legal Services
"Art History, Criticism & Conservation",Public Administration & Legal Services
Public/Applied History & Archival Administration,Public Administration & Legal Services
Museology/Museum Studies,Public Administration & Legal Services
"Art History, Criticism & Conservation",Public Administration & Legal Services
Public/Applied History & Archival Administration,"Communications, Entertainment, & Information"
School Librarian/School Library Media Specialist  (New),"Communications, Entertainment, & Information"
Library Science/Librarianship,"Communications, Entertainment, & Information"
"Library Science, Other","Communications, Entertainment, & Information"
Library Assistant,"Communications, Entertainment, & Information"
Teacher Assistant/aide,Education & Training
"Teaching Assistant/Aides, Other",Education & Training
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Residual occupation not assigned to a single cluster
No related CIP programs,"Communications, Entertainment, & Information"
Farm/Farm & Ranch Management,Education & Training
Animal/Livestock Husbandry & Production,Education & Training
Crop Production,Education & Training
Agricultural & Extension Education Services,Education & Training
Animal Nutrition,Education & Training
"Family & Consumer Sciences/Human Sciences, General",Education & Training
Business Family & Consumer Sciences/Human Sciences,Education & Training
Consumer Merchandising/Retailing Management  (New),Education & Training
"Family Resource Management Studies, General",Education & Training
Consumer Economics,Education & Training
Consumer Services & Advocacy  (New),Education & Training
"Family & Consumer Economics & Related Services, Other",Education & Training
"Housing & Human Environments, General",Education & Training
Home Furnishings and Equipment Installers,Education & Training
"Housing & Human Environments, Other",Education & Training
Adult Development & Aging  (New),Education & Training
Family Systems,Education & Training
Child Development,Education & Training
Family & Community Services  (New),Education & Training
"Human Development, Family Studies, & Related Services, Other",Education & Training
"Apparel & Textiles, General",Education & Training
"Family & Consumer Sciences/Human Sciences, Other",Education & Training
Curriculum & Instruction,Education & Training
Educational/Instructional Media Design,Education & Training
Teacher Assistant/aide,Education & Training
"Education, Other",Education & Training
"Library Science, Other","Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Graphic Design  (New),"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Crafts/Craft Design, Folk Art & Artisanry","Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
Drawing,"Communications, Entertainment, & Information"
Intermedia/Multimedia,"Communications, Entertainment, & Information"
Painting,"Communications, Entertainment, & Information"
Sculpture,"Communications, Entertainment, & Information"
Printmaking,"Communications, Entertainment, & Information"
Ceramic Arts & Ceramics,"Communications, Entertainment, & Information"
"Fiber, Textile & Weaving Arts","Communications, Entertainment, & Information"
Metal & Jewelry Arts,"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Fine/Studio Arts, General","Communications, Entertainment, & Information"
Drawing,"Communications, Entertainment, & Information"
Intermedia/Multimedia,"Communications, Entertainment, & Information"
Painting,"Communications, Entertainment, & Information"
Sculpture,"Communications, Entertainment, & Information"
Printmaking,"Communications, Entertainment, & Information"
Ceramic Arts & Ceramics,"Communications, Entertainment, & Information"
"Fine Arts & Art Studies, Other","Communications, Entertainment, & Information"
Medical Illustration/Medical Illustrator,"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Fine/Studio Arts, General","Communications, Entertainment, & Information"
Drawing,"Communications, Entertainment, & Information"
"Fine Arts & Art Studies, Other","Communications, Entertainment, & Information"
Medical Illustration/Medical Illustrator,"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Fine/Studio Arts, General","Communications, Entertainment, & Information"
Drawing,"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
Drawing,"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Fine/Studio Arts, General","Communications, Entertainment, & Information"
Sculpture,"Communications, Entertainment, & Information"
"Fine Arts & Art Studies, Other","Communications, Entertainment, & Information"
"Animation, Interactive Technology, Video Graphics & Special Effects  (New)","Communications, Entertainment, & Information"
"Web Page, Digital/Multimedia & Information Resources Design  (New)","Communications, Entertainment, & Information"
Graphic Design  (New),"Communications, Entertainment, & Information"
Drawing,"Communications, Entertainment, & Information"
Intermedia/Multimedia,"Communications, Entertainment, & Information"
Painting,"Communications, Entertainment, & Information"
Printmaking,"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
"Crafts/Craft Design, Folk Art & Artisanry","Communications, Entertainment, & Information"
Commercial & Advertising Art,"Communications, Entertainment, & Information"
Graphic Design  (New),"Communications, Entertainment, & Information"
Illustration  (New),"Communications, Entertainment, & Information"
"Fine/Studio Arts, General","Communications, Entertainment, & Information"
"Fine Arts & Art Studies, Other","Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","This is a broad SOC occupation. For cluster assignments, see detailed O*NET occupations listed below."
"Design & Visual Communications, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Commercial & Advertising Art,"Retail & Wholesale Trade, Real Estate & Personal Services"
Industrial Design,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Applied Arts, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
Apparel & Textile Manufacture  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
Textile Science  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
Fashion/Apparel Design,"Retail & Wholesale Trade, Real Estate & Personal Services"
Fashion and Fabric Consultant,"Retail & Wholesale Trade, Real Estate & Personal Services"
Floriculture/Floristry Operations & Management  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
Agricultural Communications/Journalism  (New),"Communications, Entertainment, & Information"
"Web Page, Digital/Multimedia & Information Resources Design  (New)","Communications, Entertainment, & Information"
Computer Graphics  (New),"Communications, Entertainment, & Information"
"Design & Visual Communications, General","Communications, Entertainment, & Information"
Commercial & Advertising Art,"Communications, Entertainment, & Information"
Industrial Design,"Communications, Entertainment, & Information"
Graphic Design  (New),"Communications, Entertainment, & Information"
Interior Architecture,"Retail & Wholesale Trade, Real Estate & Personal Services"
Facilities Planning & Management,"Retail & Wholesale Trade, Real Estate & Personal Services"
Textile Science  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
Interior Design,"Retail & Wholesale Trade, Real Estate & Personal Services"
No related CIP programs,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Visual Communications, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Illustration  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Applied Arts, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
Technical Theatre/Theatre Design & Technology,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Visual Communications, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Illustration  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Applied Arts, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
Technical Theatre/Theatre Design & Technology,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Visual Communications, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Illustration  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Applied Arts, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
Technical Theatre/Theatre Design & Technology,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Visual Communications, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Industrial Design,"Retail & Wholesale Trade, Real Estate & Personal Services"
Illustration  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Design & Applied Arts, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
Acting,"Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Film/Cinema Studies,"Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Film/Cinema Studies,"Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Film/Cinema Studies,"Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Film/Cinema Studies,"Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Film/Cinema Studies,"Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Management,"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Film/Cinema Studies,"Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Restaurants, Hotels, & Hospitality"
"Health & Physical Education, General","Restaurants, Hotels, & Hospitality"
Physical Education Teaching & Coaching,"Restaurants, Hotels, & Hospitality"
"Health & Physical Education, General","Restaurants, Hotels, & Hospitality"
Sport & Fitness Administration/Management,"Restaurants, Hotels, & Hospitality"
No related CIP programs,"Restaurants, Hotels, & Hospitality"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
"Dance, General","Communications, Entertainment, & Information"
Ballet  (New),"Communications, Entertainment, & Information"
"Dance, Other  (New)","Communications, Entertainment, & Information"
"Dance, General","Communications, Entertainment, & Information"
"Dance, Other  (New)","Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Religious/Sacred Music,"Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Music Theory & Composition,"Communications, Entertainment, & Information"
Musicology & Ethnomusicology,"Communications, Entertainment, & Information"
Conducting,"Communications, Entertainment, & Information"
Voice & Opera,"Communications, Entertainment, & Information"
Music Management & Merchandising,"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
Religious/Sacred Music,"Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Music Theory & Composition,"Communications, Entertainment, & Information"
Musicology & Ethnomusicology,"Communications, Entertainment, & Information"
Conducting,"Communications, Entertainment, & Information"
Voice & Opera,"Communications, Entertainment, & Information"
Music Management & Merchandising,"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
Religious/Sacred Music,"Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Music Theory & Composition,"Communications, Entertainment, & Information"
Musicology & Ethnomusicology,"Communications, Entertainment, & Information"
Conducting,"Communications, Entertainment, & Information"
Voice & Opera,"Communications, Entertainment, & Information"
Music Management & Merchandising,"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
Religious/Sacred Music,"Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Music Theory & Composition,"Communications, Entertainment, & Information"
Musicology & Ethnomusicology,"Communications, Entertainment, & Information"
Conducting,"Communications, Entertainment, & Information"
Voice & Opera,"Communications, Entertainment, & Information"
Music Management & Merchandising,"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
"Music, General","Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Piano & Organ,"Communications, Entertainment, & Information"
Voice & Opera,"Communications, Entertainment, & Information"
Jazz/Jazz Studies  (New),"Communications, Entertainment, & Information"
"Violin, Viola, Guitar & Other Stringed Instruments  (New)","Communications, Entertainment, & Information"
Music Pedagogy  (New),"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Voice & Opera,"Communications, Entertainment, & Information"
Jazz/Jazz Studies  (New),"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
"Music, General","Communications, Entertainment, & Information"
"Music, General","Communications, Entertainment, & Information"
"Music Performance, General","Communications, Entertainment, & Information"
Piano & Organ,"Communications, Entertainment, & Information"
Jazz/Jazz Studies  (New),"Communications, Entertainment, & Information"
"Violin, Viola, Guitar & Other Stringed Instruments  (New)","Communications, Entertainment, & Information"
Music Pedagogy  (New),"Communications, Entertainment, & Information"
"Music, Other","Communications, Entertainment, & Information"
"Drama & Dramatics/Theatre Arts, General","Communications, Entertainment, & Information"
Directing & Theatrical Production  (New),"Communications, Entertainment, & Information"
Theatre/Theatre Arts Mnagement (New),"Communications, Entertainment, & Information"
"Dramatic/Theatre Arts & Stagecraft, Other","Communications, Entertainment, & Information"
Broadcast Journalism,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Journalism,"Communications, Entertainment, & Information"
Broadcast Journalism,"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
Political Communications  (New),"Communications, Entertainment, & Information"
Agricultural Communications/Journalism  (New),"Communications, Entertainment, & Information"
Mass Communications/Media Studies,"Communications, Entertainment, & Information"
Journalism,"Communications, Entertainment, & Information"
Broadcast Journalism,"Communications, Entertainment, & Information"
Photojournalism  (New),"Communications, Entertainment, & Information"
"Journalism, Other","Communications, Entertainment, & Information"
Political Communications  (New),"Communications, Entertainment, & Information"
Public Relations/Image Management,"Communications, Entertainment, & Information"
Political Communications  (New),"Communications, Entertainment, & Information"
Health Communications  (New),"Communications, Entertainment, & Information"
Family & Consumer Sciences/Human Sciences Communications,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
Mass Communications/Media Studies,"Communications, Entertainment, & Information"
Journalism,"Communications, Entertainment, & Information"
Broadcast Journalism,"Communications, Entertainment, & Information"
Publishing  (New),"Communications, Entertainment, & Information"
"Communications, Journalism, & Related Fields, Other","Communications, Entertainment, & Information"
Creative Writing,"Communications, Entertainment, & Information"
Technical & Business Writing,"Communications, Entertainment, & Information"
Business/Corporate Communications,"Communications, Entertainment, & Information"
Family & Consumer Sciences/Human Sciences Communications,"Communications, Entertainment, & Information"
Technical & Business Writing,"Communications, Entertainment, & Information"
Business/Corporate Communications,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
Mass Communications/Media Studies,"Communications, Entertainment, & Information"
Journalism,"Communications, Entertainment, & Information"
Broadcast Journalism,"Communications, Entertainment, & Information"
"Communications, Journalism, & Related Fields, Other","Communications, Entertainment, & Information"
Family & Consumer Sciences/Human Sciences Communications,"Communications, Entertainment, & Information"
English Composition,"Communications, Entertainment, & Information"
Creative Writing,"Communications, Entertainment, & Information"
Technical & Business Writing,"Communications, Entertainment, & Information"
Playwriting & Screenwriting,"Communications, Entertainment, & Information"
Business/Corporate Communications,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
English Composition,"Communications, Entertainment, & Information"
Creative Writing,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
Mass Communications/Media Studies,"Communications, Entertainment, & Information"
Family & Consumer Sciences/Human Sciences Communications,"Communications, Entertainment, & Information"
English Composition,"Communications, Entertainment, & Information"
Creative Writing,"Communications, Entertainment, & Information"
Playwriting & Screenwriting,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
Mass Communications/Media Studies,"Communications, Entertainment, & Information"
Journalism,"Communications, Entertainment, & Information"
English Composition,"Communications, Entertainment, & Information"
Communications Studies/Speech Communication & Rhetoric,"Communications, Entertainment, & Information"
Mass Communications/Media Studies,"Communications, Entertainment, & Information"
Journalism,"Communications, Entertainment, & Information"
English Composition,"Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Business & Administrative Services
"Education/Teaching of Individuals with Hearing Impairments, Including Deafness",Business & Administrative Services
"Foreign Languages/Modern Languages, General",Business & Administrative Services
Linguistics,Business & Administrative Services
Language Interpretation & Translation,Business & Administrative Services
"African Languages, Literatures, & Linguistics (New)",Business & Administrative Services
"East Asian Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
Chinese Language & Literature,Business & Administrative Services
Japanese Language & Literature,Business & Administrative Services
Korean Language & Literature  (New),Business & Administrative Services
Tibetan Language & Literature  (New),Business & Administrative Services
"East Asian Languages, Literatures, & Linguistics, Other",Business & Administrative Services
"Slavic Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
"Baltic Languages, Literatures, & Linguistics (New)",Business & Administrative Services
Russian Language & Literature,Business & Administrative Services
Albanian Language & Literature  (New),Business & Administrative Services
Bulgarian Language & Literature  (New),Business & Administrative Services
Czech Language & Literature  (New),Business & Administrative Services
Polish Language & Literature  (New),Business & Administrative Services
"Serbian, Croatian, & Serbo-Croatian Languages & Literatures  (New)",Business & Administrative Services
Slovak Language & Literature  (New),Business & Administrative Services
Ukrainian Language & Literature  (New),Business & Administrative Services
"Slavic, Baltic, & Albanian Languages, Literatures, & Linguistics, Other",Business & Administrative Services
"Germanic Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
German Language & Literature,Business & Administrative Services
"Scandinavian Languages, Literatures, & Linguistics",Business & Administrative Services
Danish Language & Literature  (New),Business & Administrative Services
Dutch/Flemish Language & Literature  (New),Business & Administrative Services
Norwegian Language & Literature  (New),Business & Administrative Services
Swedish Language & Literature  (New),Business & Administrative Services
"Germanic Languages, Literatures, & Linguistics, Other",Business & Administrative Services
Modern Greek Language & Literature,Business & Administrative Services
"South Asian Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
Hindi Language & Literature (New),Business & Administrative Services
"Sanskrit & Classical Indian Languages, Literatures, & Linguistics (New)",Business & Administrative Services
Bengali Language & Literature (New),Business & Administrative Services
Panjabi Language & Literature  (New),Business & Administrative Services
Panjabi Language & Literature  (New),Business & Administrative Services
Tamil Language & Literature  (New),Business & Administrative Services
Urdu Language & Literature  (New),Business & Administrative Services
"South Asian Languages, Literatures, & Linguistics, Other  (New)",Business & Administrative Services
"Iranian/Persian Languages, Literatures, & Linguistics  (New)",Business & Administrative Services
"Romance Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
French Language & Literature,Business & Administrative Services
Italian Language & Literature,Business & Administrative Services
Portuguese Language & Literature,Business & Administrative Services
Spanish Language & Literature,Business & Administrative Services
Romanian Language & Literature  (New),Business & Administrative Services
Catalan Language & Literature  (New),Business & Administrative Services
"Romance Languages, Literatures, & Linguistics, Other",Business & Administrative Services
"American Indian/Native American Languages, Literatures, & Linguistics  (New)",Business & Administrative Services
"Semitic Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
Arabic Language & Literature,Business & Administrative Services
Hebrew Language & Literature,Business & Administrative Services
"Ancient Near Eastern & Biblical Languages, Literatures, & Linguistics  (New)",Business & Administrative Services
"Middle/Near Eastern & Semitic Languages, Literatures, & Linguistics, Other",Business & Administrative Services
"Classics & Classical Languages, Literatures, & Linguistics, General",Business & Administrative Services
Ancient/Classical Greek Language & Literature,Business & Administrative Services
Latin Language & Literature,Business & Administrative Services
"Classics & Classical Languages, Literatures, & Linguistics, Other",Business & Administrative Services
"Celtic Languages, Literatures, & Linguistics  (New)",Business & Administrative Services
"Southeast Asian Languages, Literatures, & Linguistics, General  (New)",Business & Administrative Services
"Australian/Oceanic/Pacific Languages, Literatures, & Linguistics  (New)",Business & Administrative Services
Bahasa Indonesian/Bahasa Malay Languages & Literatures  (New),Business & Administrative Services
Burmese Language & Literature  (New),Business & Administrative Services
Filipino/Tagalog Language & Literature  (New),Business & Administrative Services
Khmer/Cambodian Language & Literature  (New),Business & Administrative Services
Lao/Laotian Language & Literature  (New),Business & Administrative Services
Thai Language & Literature  (New),Business & Administrative Services
Vietnamese Language & Literature  (New),Business & Administrative Services
"Southeast Asian & Australasian/Pacific Languages, Literatures, & Linguistics, Other  (New)",Business & Administrative Services
Turkish Language & Literature  (New),Business & Administrative Services
"Finnish & Related Languages, Literatures, & Linguistics  (New)",Business & Administrative Services
Hungarian/Magyar Language & Literature  (New),Business & Administrative Services
Mongolian Language & Literature  (New),Business & Administrative Services
"Turkic, Ural-Altaic, Caucasian, & Central Asian Languages, Literatures, & Linguistics, Other  (N",Business & Administrative Services
American Sign Language (ASL) (New),Business & Administrative Services
Linguists of American Sign Languaage (New),Business & Administrative Services
Sign Language Interpretation and Translation,Business & Administrative Services
"American Sign Language, other  (New)",Business & Administrative Services
"Foreign Languages, Literatures, & Linguistics, Other",Business & Administrative Services
Sign Language Interpretation/Interpreter,Business & Administrative Services
"Communications, Journalism, & Related Fields, Other","Communications, Entertainment, & Information"
Communications Technology/Technician  (New),"Communications, Entertainment, & Information"
"Audiovisual Communications Technologies/Technicians, Other  (New)","Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Agricultural Communications/Journalism  (New),"Communications, Entertainment, & Information"
Photographic & Film/Video Technology/Technician & Assistant.,"Communications, Entertainment, & Information"
Recording Arts Technology/Technician  (New),"Communications, Entertainment, & Information"
Communications Technology/Technician  (New),"Communications, Entertainment, & Information"
Radio & Television Broadcasting Technology/Technician,"Communications, Entertainment, & Information"
"Audiovisual Communications Technologies/Technicians, Other  (New)","Communications, Entertainment, & Information"
Communications Systems Installation & Repair Technology,Public Administration & Legal Services
Communications Technology/Technician  (New),"Manufacturing, Installation & Repair"
Recording Arts Technology/Technician  (New),"Manufacturing, Installation & Repair"
Photojournalism  (New),"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
Commercial Photography,"Communications, Entertainment, & Information"
Photography,"Communications, Entertainment, & Information"
"Film/Video & Photographic Arts, Other","Communications, Entertainment, & Information"
Photojournalism  (New),"Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
Commercial Photography,"Communications, Entertainment, & Information"
Photography,"Communications, Entertainment, & Information"
"Film/Video & Photographic Arts, Other","Communications, Entertainment, & Information"
"Art/Art Studies, General","Communications, Entertainment, & Information"
Commercial Photography,"Communications, Entertainment, & Information"
Photography,"Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Radio & Television Broadcasting Technology/Technician,"Communications, Entertainment, & Information"
"Audiovisual Communications Technologies/Technicians, Other  (New)","Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
Photojournalism  (New),"Communications, Entertainment, & Information"
Radio & Television,"Communications, Entertainment, & Information"
Communications Technology/Technician  (New),"Communications, Entertainment, & Information"
Radio & Television Broadcasting Technology/Technician,"Communications, Entertainment, & Information"
"Audiovisual Communications Technologies/Technicians, Other  (New)","Communications, Entertainment, & Information"
Cinematography & Film/Video Production,"Communications, Entertainment, & Information"
"Audiovisual Communications Technologies/Technicians, Other  (New)","Communications, Entertainment, & Information"
Chiropractic (DC),Health & Human Services
"Dentistry (DDS, DMD)",Health & Human Services
"Advanced General Dentistry (Cert, MS, PhD)    (New)",Health & Human Services
"Dental Public Health & Education (Cert, MS/MPH, PhD/DPH)    (New)",Health & Human Services
